Year,Topic,Content,LexRank,TextRank
2012-2013,Were infections with novel (non-human) influenza viruses detected in 2012-2013?,"In the summer of 2012, before the 2012-2013 flu season officially began, 307 cases of influenza A (H3N2) variant viruses (or �H3N2v�) infections were detected across 12 states. These infections in humans were mostly associated with prolonged exposure to pigs at agricultural fairs.\nDuring the 2012�13 influenza season, two additional H3N2v cases were reported, bringing the total number of H3N2v cases to 309. One was reported from Minnesota, and the other from Iowa. Both infections occurred in children, one of which had known exposure to swine. Both patients recovered fully.","Both infections occurred in children, one of which had known exposure to swine.","These infections in humans were mostly associated with prolonged exposure to pigs at agricultural fairs.\nDuring the 2012�13 influenza season, two additional H3N2v cases were reported, bringing the total number of H3N2v cases to 309."
2012-2013,What did CDC do to monitor antiviral resistance in the United States during the 2012-13 season?,"Antiviral resistance means that a virus has changed in such a way that antiviral drugs have become less effective in treating or preventing illnesses caused by the virus. Samples of viruses collected from around the United States and the world are studied to determine if they are developing resistance to any of the antiviral medications currently recommended to treat influenza.\nOver the course of the 2012-2013 flu season, CDC tested more than 3,600 influenza viruses for evidence of resistance and found that the vast majority of influenza A and B viruses were sensitive to oseltamivir (trade name Tamiflu�) and zanamivir (Relenza �).\nCDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses. CDC also works with the state public health departments and World Health Organization to collect additional information on antiviral resistance in the United States and worldwide. The information assists CDC in making informed recommendations for treatment and prevention of influenza in the United States.",The information assists CDC in making informed recommendations for treatment and prevention of influenza in the United States.,
2013-2014,When did flu activity peak?,"The timing of flu is unpredictable and can vary from season to season. Seasonal flu activity can begin as early as October and continue to occur as late as May. Flu activity most commonly peaks in the United States in January or February.\nFor the 2013-2014 season, influenza-like-illness (ILI) in the United States began increasing in mid-November, and toward the end of December, ILI was high across most of the country. Flu activity peaked during the week ending December 28, 2013 for the 2013-2014 season and began a downward trend in early January.\nSeverity indicators usually lag behind ILI. More information about flu activity during the 2013-14 season can be found in FluView and the MMWR report",More information about flu activity during the 2013-14 season can be found in FluView and the MMWR report,
2013-2014,What flu viruses circulated this season?,"During the 2013-2014 season, influenza A (H3N2), 2009 influenza A (H1N1), and influenza B viruses circulated in the United States. 2009 H1N1 viruses predominated overall during the 2013-14 flu season, though influenza B viruses became the predominant virus nationally later in the season and caused an increase in influenza-like-illness in parts of the northeast especially. After several recent influenza A (H3N2)�predominant seasons, 2013-14 was the first pH1N1�predominant season since the 2009 pH1N1 pandemic.","After several recent influenza A (H3N2)�predominant seasons, 2013-14 was the first pH1N1�predominant season since the 2009 pH1N1 pandemic.",
2013-2014,Who was most severely impacted by flu this season?,"During the 2013-2014 season, CDC received reports of severe flu illness among young and middle-aged adults, many of whom were infected with the 2009 H1N1 virus. Nearly 60% of the flu-associated hospitalizations reported to CDC�s influenza surveillance system were in people 18 to 64 years old. A similar increase in hospitalizations among non-elderly adults was also seen during the 2009 H1N1 pandemic. These severe flu outcomes are a reminder that flu can be a very serious disease for anyone, including young, previously healthy adults.\nHospitalization rates were also affected. While rates were still highest among people 65 and older, people 50 to 64 years had the second-highest hospitalization rate. Hospitalization rates among those aged 50 to 64 years were higher than those seen during the 2009 pandemic and in any year since. These indicators underscore the impact that seasonal flu had in the United States, particularly on people less than 65 years of age.","These indicators underscore the impact that seasonal flu had in the United States, particularly on people less than 65 years of age.",Hospitalization rates among those aged 50 to 64 years were higher than those seen during the 2009 pandemic and in any year since.
2013-2014,How many children died from the flu this season?,"As of August 16, 2014, more than 105 flu-related deaths in children were reported to CDC from 30 states. More information about reported pediatric deaths is available at FluView: Influenza-Associated Pediatric Mortality.\nSince influenza-associated pediatric mortality became a nationally-notifiable condition during the 2004-2005 season, the total number of influenza-associated pediatric deaths had previously ranged from 35 to 171 per season. (This excludes the 2009 pandemic, when 348 pediatric deaths were reported to CDC during April 15, 2009, through October 2, 2010.)","(This excludes the 2009 pandemic, when 348 pediatric deaths were reported to CDC during April 15, 2009, through October 2, 2010.)",
2013-2014,How effective was the 2013-2014 seasonal flu vaccine?,"CDC�s mid-season VE estimates were published on February 20, 2014, in a Morbidity and Mortality Weekly Report entitled: �Interim Estimates of 2013-14 Seasonal Influenza Vaccine Effectiveness�United States.� At the end of the season, CDC will provide a comprehensive estimate of VE that takes into account all of the data collected during the season. CDC�s mid-season VE estimate was 61% for all age groups (95% confidence interval: 52% to 68%) against having to go to the doctor because of flu illness. This VE estimate means that getting a flu vaccine this season reduced the vaccinated population�s risk of having to go to the doctor because of the flu by 60% for both children and adults.\nEffectiveness against the flu A �2009 H1N1� virus, which was the predominating flu virus during the 2013-14 flu season, was 62% (95% CI: 53% to 69%) for children and adults. During the study period (Dec 2, 2013 � January 23, 2014), the 2009 H1N1 virus accounted for 98% of flu viruses detected. (Note: There were not enough influenza B or influenza A (H3N2) viruses detected during the study period to make a mid-season estimate of vaccine effectiveness against either of those viruses.)\n(For background information on understanding VE estimates and confidence intervals, see Vaccine Effectiveness � How Well Does the Flu Vaccine Work? and go to the questions: �How does CDC present data on vaccine effectiveness� and �Why are confidence intervals important for understanding vaccine effectiveness?�)",and go to the questions: �How does CDC present data on vaccine effectiveness� and �Why are confidence intervals important for understanding vaccine effectiveness?�),"(Note: There were not enough influenza B or influenza A (H3N2) viruses detected during the study period to make a mid-season estimate of vaccine effectiveness against either of those viruses.)\n(For background information on understanding VE estimates and confidence intervals, see Vaccine Effectiveness � How Well Does the Flu Vaccine Work?"
2013-2014,What did CDC do to monitor effectiveness of flu vaccines for the 2013-2014 season?,"Every year CDC carries out evaluations and collaborates with outside partners to assess the effectiveness of seasonal flu vaccines. CDC is currently conducting annual vaccine effectiveness studies among persons of all age groups recommended for annual vaccination (i.e., all aged 6 months and older). In addition, CDC conducts special studies targeted at answering more specific questions, such as the effectiveness of inactivated vaccine in preventing laboratory-confirmed influenza hospitalizations among older U.S. residents.","In addition, CDC conducts special studies targeted at answering more specific questions, such as the effectiveness of inactivated vaccine in preventing laboratory-confirmed influenza hospitalizations among older U.S. residents.",
2013-2014,Is vaccine still available?,All 2013-2014 seasonal flu vaccine has expired. Vaccine for the 2014-2015 season will be available in late summer and in the fall.,Vaccine for the 2014-2015 season will be available in late summer and in the fall.,
2013-2014,How much vaccine was produced during the 2013-2014 season?,"Flu vaccine is produced by private manufacturers. Information about the number of seasonal flu vaccine doses distributed this season is available at Seasonal Flu Vaccine & Total Doses Distributed.\nIn May 2013, flu vaccine manufacturers projected about 138-145 million doses would be available for the U.S. market during the 2013-214 season. As of late February, more than 134 million doses of flu vaccine had been delivered in the United States.\nInformation about vaccine supply is available on the CDC influenza web site.","As of late February, more than 134 million doses of flu vaccine had been delivered in the United States.\nInformation about vaccine supply is available on the CDC influenza web site.",
2013-2014,What kind of flu vaccines were available in the United States during the 2013-2014 season?,"There were several flu vaccine options for the 2013-2014 flu season.\nTraditional flu vaccines made to protect against three different flu viruses (called �trivalent� vaccines) were available. In addition, flu vaccines made to protect against four different flu viruses (called �quadrivalent� vaccines) were also available.\nThe trivalent flu vaccine protects against two influenza A viruses and an influenza B virus. The following trivalent flu vaccines were available:\nStandard dose trivalent shots that are manufactured using virus grown in eggs. These are approved for people ages 6 months and older. There are different brands of this type of vaccine, and each is approved for different ages. However, there is a brand that is approved for children as young as 6 months old and up.\nA standard dose trivalent shot containing virus grown in cell culture, which is approved for people 18 years and older.\nA standard dose trivalent shot that is egg-free, which is approved for people 18 through 49 years of age.\nA high-dose trivalent shot, which is approved for people 65 and older.\nA standard dose intradermal trivalent shot, which is injected into the skin instead of the muscle and uses a much smaller needle than the regular flu shot, approved for people 18 through 64 years of age.\nThe quadrivalent flu vaccine protects against two influenza A viruses and two influenza B viruses. The following quadrivalent flu vaccines are available:\nA standard-dose quadrivalent shot that can be given to children as young as 6 months of age. Other standard-dose quadrivalent shots are approved for people 3 years and older.\nA standard dose quadrivalent flu vaccine, given as a nasal spray, which is approved for healthy* people 2 through 49 years of age\n(*�Healthy� indicates persons who do not have an underlying medical condition that predisposes them to influenza complications.)","Other standard-dose quadrivalent shots are approved for people 3 years and older.\nA standard dose quadrivalent flu vaccine, given as a nasal spray, which is approved for healthy* people 2 through 49 years of age\n(*�Healthy� indicates persons who do not have an underlying medical condition that predisposes them to influenza complications.)","However, there is a brand that is approved for children as young as 6 months old and up.\nA standard dose trivalent shot containing virus grown in cell culture, which is approved for people 18 years and older.\nA standard dose trivalent shot that is egg-free, which is approved for people 18 through 49 years of age.\nA high-dose trivalent shot, which is approved for people 65 and older.\nA standard dose intradermal trivalent shot, which is injected into the skin instead of the muscle and uses a much smaller needle than the regular flu shot, approved for people 18 through 64 years of age.\nThe quadrivalent flu vaccine protects against two influenza A viruses and two influenza B viruses."
2013-2014,What flu viruses did the vaccine protect against?,"Flu vaccines are designed to protect against the influenza viruses that experts predict will be the most common during the upcoming season. Three kinds of influenza viruses commonly circulate among people today: influenza A (H1N1) viruses, influenza A (H3N2) viruses, and influenza B viruses. Each year, these viruses are used to produce seasonal influenza vaccine.\nThe 2013-2014 trivalent influenza vaccine was made from the following three viruses:\nan A/California/7/2009 (H1N1)pdm09-like virus;\nan A(H3N2) virus antigenically like the cell-propagated prototype virus A/Victoria/361/2011;\na B/Massachusetts/2/2012-like virus.\nIt is recommended that the quadrivalent vaccine containing two influenza B viruses include the above three viruses and a B/Brisbane/60/2008-like virus.\nCDC did not recommend any one flu vaccine over another. The important thing is to get a flu vaccine every year. More information about influenza vaccines is available at Preventing Seasonal Flu With Vaccination.",More information about influenza vaccines is available at Preventing Seasonal Flu With Vaccination.,Flu vaccines are designed to protect against the influenza viruses that experts predict will be the most common during the upcoming season.
2013-2014,Did CDC receive reports of people who had received a flu vaccine and then tested positive for flu?,Yes. CDC received reports of some people who became ill and tested positive for the flu even though they had been vaccinated. This occurs every season.,This occurs every season.,
2013-2014,Was this season�s vaccine a good match for circulating viruses?,"Over the course of a flu season, CDC studies samples of flu viruses circulating during that season to evaluate how much similarity there is between viruses used to make the vaccine and circulating viruses. Data are published each week in FluView.\nOne of the ways that CDC evaluates the match between vaccine viruses and circulating viruses is through antigenic characterization. The match between the vaccine virus and circulating viruses is one factor that impacts how well the vaccine works.\nAs of the week ending May 17, 2014, most of the flu viruses that have been analyzed at CDC are like the viruses included in the 2013-2014 flu vaccine:\n2,005 (99.8%) of the 2,008 2009 H1N1 viruses tested were characterized as A/California/7/2009-like. This is the influenza A (H1N1) component of the Northern Hemisphere quadrivalent and trivalent vaccines for the 2013-2014 season.\n406 (95.3%) of the 426 influenza A (H3N2) viruses tested were characterized as Texas/50/2012-like. This is the influenza A (H3N2) component of the Northern Hemisphere quadrivalent and trivalent vaccines for the 2013-2014 season.\n269 (70.6%) of the 381 influenza B viruses tested belonged to the B/Yamagata lineage of viruses. 268 (99.6%) of these 269 viruses were characterized as B/Massachusetts/02/2012-like. This is an influenza B component for the 2013-2014 Northern Hemisphere quadrivalent and trivalent influenza vaccines.\nThe 112 (29.4%) other influenza B viruses belonged to the B/Victoria lineage of viruses, and were characterized as B/Brisbane/60/2008-like. This is the recommended influenza B component of the 2013-2014 Northern Hemisphere quadrivalent influenza vaccine.",This is the recommended influenza B component of the 2013-2014 Northern Hemisphere quadrivalent influenza vaccine.,This is the influenza A (H1N1) component of the Northern Hemisphere quadrivalent and trivalent vaccines for the 2013-2014 season.\n406 (95.3%) of the 426 influenza A (H3N2) viruses tested were characterized as Texas/50/2012-like.
2013-2014,What did CDC do to monitor antiviral resistance in the United States during the 2013-2014 season?,"CDC routinely collects viruses through a domestic and global surveillance system to monitor for changes in influenza viruses. CDC will continue ongoing surveillance and testing of influenza viruses during the upcoming flu season. Additionally, CDC is working with the state public health departments and the World Health Organization to collect additional information on antiviral resistance in the United States and worldwide. The information collected will assist in making informed public health policy recommendations.",The information collected will assist in making informed public health policy recommendations.,
2013-2014,Did CDC receive reports of antiviral resistant flu viruses during the 2013-2014 season?,"CDC and its partner laboratories detected a small number (1.2%) of 2009 H1N1 influenza viruses in the United States during the 2013-14 season that are resistant to the antiviral drug oseltamivir (trade name Tamiflu). These findings are similar to those of other countries. Also, rare cases of oseltamivir-resistant influenza A (H3N2) viruses have been detected globally. However, the majority of currently circulating flu viruses in the United States and internationally are susceptible to the neuraminidase inhibitor class of antiviral drugs (oseltamivir and zanamivir). No flu viruses tested were resistant to zanamivir (trade name Relenza).\nHigh levels of resistance to the adamantanes (amantadine and rimantadine) persist among 2009 influenza A (H1N1) and A (H3N2) viruses (the adamantanes are not effective against influenza B viruses). Therefore, amantadine and rimantadine are not recommended for use this season.\nCDC and its public health partners around the world are committed to informing the public of any significant increases in antiviral resistance among circulating influenza viruses. The latest national statistics on antiviral resistance are available in the weekly FluView report.","Therefore, amantadine and rimantadine are not recommended for use this season.\nCDC and its public health partners around the world are committed to informing the public of any significant increases in antiviral resistance among circulating influenza viruses.",CDC and its partner laboratories detected a small number (1.2%) of 2009 H1N1 influenza viruses in the United States during the 2013-14 season that are resistant to the antiviral drug oseltamivir (trade name Tamiflu).
2013-2014,What did CDC do in response to antiviral resistant flu viruses detected this season?,CDC has worked with states where antiviral resistant flu viruses have been found to enhance surveillance for these viruses and to inform public health professionals of the latest information and recommendations. CDC continues to work closely with its partners at the state level to monitor for antiviral resistant flu viruses this season.,CDC continues to work closely with its partners at the state level to monitor for antiviral resistant flu viruses this season.,
2014-2015,What was the 2014-2015 flu season like?,"Compared with the previous five influenza seasons, the 2014-2015 season was moderately severe, with overall high levels of outpatient illness, high levels of hospitalization and a relatively high percentage of deaths attributed to pneumonia and influenza. The season was a severe one for people 65 years and older. The season was a relatively early in terms of timing, with influenza activity increasing through November and December, and peaking in late December.\nThe frequency of outpatient visits to doctors for influenza like illness (ILI) went above the national baseline the week ending November 22, 2014 and remained elevated for 20 consecutive weeks, making the season longer than average and the longest in more than a decade. Over the previous 13 seasons, ILI was at or above baseline for 13 weeks on average, with a range of one week to 19 weeks. See 2014-2015 Flu Season Drawing to a Close for more information.",See 2014-2015 Flu Season Drawing to a Close for more information.,"The season was a relatively early in terms of timing, with influenza activity increasing through November and December, and peaking in late December.\nThe frequency of outpatient visits to doctors for influenza like illness (ILI) went above the national baseline the week ending November 22, 2014 and remained elevated for 20 consecutive weeks, making the season longer than average and the longest in more than a decade."
2014-2015,When did the 2014-2015 flu season peak?,"While flu activity levels varied across the country, influenza activity began increasing nationally in November and peaked in late December, when 33% of respiratory specimens tested positive for influenza and 6.0% of outpatient visits to healthcare providers were for ILI. The timing of flu is unpredictable and can vary in different parts of the country and from season to season. However, flu activity most often peaks in February and can last into May.\nMore information about flu activity during the 2014-2015 season can be found in 2014-2015 Flu Season Drawing to a Close, FluView, and the MMWR report","However, flu activity most often peaks in February and can last into May.\nMore information about flu activity during the 2014-2015 season can be found in 2014-2015 Flu Season Drawing to a Close, FluView, and the MMWR report",
2014-2015,How is influenza disease severity characterized?,"The overall health impact (e.g., outpatient illnesses, hospitalizations and deaths) of a flu season varies from year to year. Based on available data from U.S. influenza surveillance systems that are monitored and reported on by CDC, the severity of a flu season is judged according to a variety of criteria, including:\nThe number and proportion of respiratory specimens that are influenza-positive;\nThe proportion of visits to healthcare providers that are due for ILI;\nThe proportion of all deaths that are caused by pneumonia and influenza ;\nThe number of flu-associated deaths among children; and\nFlu-associated hospitalization rates.\nCDC assesses the severity of a season by comparing the data from these measures with data from previous seasons.","Based on available data from U.S. influenza surveillance systems that are monitored and reported on by CDC, the severity of a flu season is judged according to a variety of criteria, including:\nThe number and proportion of respiratory specimens that are influenza-positive;\nThe proportion of visits to healthcare providers that are due for ILI;\nThe proportion of all deaths that are caused by pneumonia and influenza ;\nThe number of flu-associated deaths among children; and\nFlu-associated hospitalization rates.\nCDC assesses the severity of a season by comparing the data from these measures with data from previous seasons.",
2014-2015,How many people died from flu during the 2014-2015 season?,"CDC does not count how many people die from flu each year. Unlike flu deaths in children, flu deaths in adults are not nationally reportable. However, CDC has two flu surveillance systems that are used to monitor relative levels of flu-associated deaths. One is the 122 Cities Mortality Reporting System and the other is mortality data collected by the National Center for Health Statistics. Both of these systems track the proportion of death certificates processed that list pneumonia or influenza as the underlying or contributing cause of death of the total deaths reported. These systems provide an overall indication of whether flu-associated deaths are elevated, but do not provide an exact number of how many people died from flu. For more information, see Overview of Influenza Surveillance in the United States.\nCDC also uses modeling studies to estimate numbers of flu-related deaths, but these studies apply only to past seasons and are not done each year. For more information","For more information, see Overview of Influenza Surveillance in the United States.\nCDC also uses modeling studies to estimate numbers of flu-related deaths, but these studies apply only to past seasons and are not done each year.","For more information, see Overview of Influenza Surveillance in the United States.\nCDC also uses modeling studies to estimate numbers of flu-related deaths, but these studies apply only to past seasons and are not done each year."
2014-2015,Why is it difficult to know how many people die from flu?,"There are several factors that make it difficult to determine accurate numbers of flu-associated deaths. Some of the challenges in counting influenza-associated deaths include the following: the sheer volume of deaths to be counted; the fact that not everyone that dies with an influenza-like illness is tested for influenza; and the fact that influenza-associated deaths are often a result of complications secondary to influenza and underlying medical problems, and this may be difficult to sort out. For more information","Some of the challenges in counting influenza-associated deaths include the following: the sheer volume of deaths to be counted; the fact that not everyone that dies with an influenza-like illness is tested for influenza; and the fact that influenza-associated deaths are often a result of complications secondary to influenza and underlying medical problems, and this may be difficult to sort out.",
2014-2015,What flu viruses circulated during the 2014-2015 season?,"Overall, influenza A (H3N2) viruses predominated nationally, followed by influenza B viruses; influenza A (H1N1)pdm09 viruses were identified less frequently.\nInfluenza A viruses were more commonly detected until late February 2015, after which there was substantial influenza B activity. Influenza B viruses predominated from the week ending February 28, 2015 (week 8) through the week ending May 23, 2015 (week 20).\nThe relative proportion of each type and subtype varied by geographic region and by week.","Influenza B viruses predominated from the week ending February 28, 2015 (week 8) through the week ending May 23, 2015 (week 20).\nThe relative proportion of each type and subtype varied by geographic region and by week.",
2014-2015,Who was most severely impacted during the 2014-2015 season?,"While influenza virus infection can be serious for anyone, hospitalization data indicate people 65 years and older were more severely impacted by the 2014-2015 flu season, relative to other age groups and relative to previous seasons.\nAmong people 65 years and older, there were an estimated 8.3 million illnesses, 4.7 million medical visits and 758,000 flu hospitalizations during the 2014-2015 season. CDC estimates that the overall burden of influenza disease estimated across all age groups was 40 million flu illnesses, 19 million flu-associated medical visits, and 970,000 flu-associated hospitalizations. See Estimated Influenza Illnesses and Hospitalizations Averted by Vaccination � United States, 2014-15 Influenza Season for more information.\nThese data are consistent with observations of the burden of flu illness in the elderly from previous years: data from statistical modeling studies looking at flu seasons from 1979 to 2001 estimate that as many as 60% of flu-related hospitalizations occurred among people 65 years and older.","See Estimated Influenza Illnesses and Hospitalizations Averted by Vaccination � United States, 2014-15 Influenza Season for more information.\nThese data are consistent with observations of the burden of flu illness in the elderly from previous years: data from statistical modeling studies looking at flu seasons from 1979 to 2001 estimate that as many as 60% of flu-related hospitalizations occurred among people 65 years and older.",
2014-2015,How many children died from the flu during the 2014-2015 season?,"As of February 1, 2016, a total of 148 laboratory-confirmed, influenza-associated pediatric deaths occurring during the 2014-2015 flu season were reported to CDC from 41 states and New York City.\nSince influenza-associated pediatric mortality became a nationally-notifiable condition during the 2004-2005 season, the total number of influenza-associated pediatric deaths has ranged from 34 to 171.","As of February 1, 2016, a total of 148 laboratory-confirmed, influenza-associated pediatric deaths occurring during the 2014-2015 flu season were reported to CDC from 41 states and New York City.\nSince influenza-associated pediatric mortality became a nationally-notifiable condition during the 2004-2005 season, the total number of influenza-associated pediatric deaths has ranged from 34 to 171.",
2014-2015,Were infections with novel (non-human) influenza viruses detected during 2014-2015?,"Yes, three cases of human infection with novel influenza A viruses were reported during the 2014-2015 influenza reporting period. One infection with an influenza A (H3N2) variant virus (H3N2v) occurred during the week ending October 18, 2014 (week 42) in Wisconsin, and one infection with an influenza A (H1N1) variant (H1N1v) virus was reported to CDC during the week ending January 24, 2015 (week 3), from Minnesota. Both patients had illness onset in October 2014 and reported contact with swine in the week preceding illness. Both patients fully recovered, and no further cases were identified in contacts of either patient. The third case, a fatal infection with an influenza A (H1N1)v virus was reported from Ohio during the week ending May 2, 2015 (week 17). The patient worked at a livestock facility that housed swine, but no direct contact with swine in the week before illness onset was reported. The patient died from complications of the infection, and no ongoing human-to-human transmission was identified.\nSwine flu viruses do not normally infect humans. However, sporadic human infections with swine influenza viruses have occurred. When this happens, these viruses are called �variant viruses.� They also can be denoted by adding the letter �v� to the end of the virus subtype designation. Human infections with H1N1v, H3N2v and H1N2v viruses have been detected in the United States.","Human infections with H1N1v, H3N2v and H1N2v viruses have been detected in the United States.","One infection with an influenza A (H3N2) variant virus (H3N2v) occurred during the week ending October 18, 2014 (week 42) in Wisconsin, and one infection with an influenza A (H1N1) variant (H1N1v) virus was reported to CDC during the week ending January 24, 2015 (week 3), from Minnesota.
The third case, a fatal infection with an influenza A (H1N1)v virus was reported from Ohio during the week ending May 2, 2015 (week 17)."
2014-2015,What kind of vaccines were available in the United States during the 2014-2015 season?,"A number of different manufacturers produced trivalent (three component) influenza vaccines for the U.S. market, including intramuscular (IM), intradermal, and nasal spray vaccines. Some seasonal flu vaccines were formulated to protect against four flu viruses (quadrivalent flu vaccines).",Some seasonal flu vaccines were formulated to protect against four flu viruses (quadrivalent flu vaccines).,
2014-2015,Were there new recommendations for the 2014-2015 influenza season?,"Recommendations on the control and prevention of influenza are published annually, in late summer or early fall. Recommendations for the 2014-2015 season are available in the Morbidity and Mortality Weekly Report (MMWR) Prevention and Control of Seasonal Influenza with Vaccines: Recommendations of the Advisory Committee on Immunization Practices (ACIP) � United States, 2014-15 Influenza Season. During the 2014-2015 flu season, CDC recommended use of the nasal spray vaccine (LAIV) for healthy* children 2 through 8 years of age, when it was immediately available and if the child had no contraindications or precautions to that vaccine. For more information, see Nasal Spray Flu Vaccine in Children 2 through 8 Years Old or the 2014-2015 MMWR Influenza Vaccine Recommendations. However, on February 26, 2015, the Advisory Committee on Immunization Practices (ACIP) did not renew the preferential recommendation for LAIV for the 2015-2016 season. The ACIP recommendations must be approved by the CDC Director at which point they are published in the MMWR and become CDC policy. More information on this vote is available at the CDC Newsroom.",More information on this vote is available at the CDC Newsroom.,"Recommendations for the 2014-2015 season are available in the Morbidity and Mortality Weekly Report (MMWR) Prevention and Control of Seasonal Influenza with Vaccines: Recommendations of the Advisory Committee on Immunization Practices (ACIP) � United States, 2014-15 Influenza Season."
2014-2015,How much flu vaccine was produced and distributed during the 2014-2015 season?,"Flu vaccine is produced by private manufacturers. Information about the number of seasonal flu vaccine doses distributed this season is available at Seasonal Flu Vaccine & Total Doses Distributed. In September, seven influenza vaccine manufacturers projected about 151 million to 156 million doses of influenza vaccines would be available for the U.S. market during the 2014-2015 season. Of those projected doses, manufacturers estimated that 76 million doses would be quadrivalent flu vaccine. As of February 2015, approximately 147.8 million doses of flu vaccine were distributed.","As of February 2015, approximately 147.8 million doses of flu vaccine were distributed.","Of those projected doses, manufacturers estimated that 76 million doses would be quadrivalent flu vaccine."
2014-2015,What flu viruses did the 2014-2015 flu vaccines protect against?,"Flu vaccines are designed to protect against the main flu viruses that research suggests will be the most common during the upcoming season. Three kinds of flu viruses commonly circulate among people today: influenza A (H1N1) viruses, influenza A (H3N2) viruses, and influenza B viruses. Each year, reference viruses are used to produce seasonal influenza vaccine.\nAll of the 2014-2015 influenza vaccine was made to protect against:\nan A/California/7/2009 (H1N1)pdm09-like virus\nan A/Texas/50/2012 (H3N2)-like virus\na B/Massachusetts/2/2012-like virus.\nSome of the 2014-2015 flu vaccine was quadrivalent vaccine. In addition to the above three, quadrivalent vaccines were made to protect against an B/Brisbane/60/2008-like virus.\nVaccines that give protection against three viruses are called trivalent vaccines. Vaccines that give protection against four viruses are called quadrivalent vaccines.",Vaccines that give protection against four viruses are called quadrivalent vaccines.,"Each year, reference viruses are used to produce seasonal influenza vaccine.\nAll of the 2014-2015 influenza vaccine was made to protect against:\nan A/California/7/2009 (H1N1)pdm09-like virus\nan A/Texas/50/2012 (H3N2)-like virus\na B/Massachusetts/2/2012-like virus.\nSome of the 2014-2015 flu vaccine was quadrivalent vaccine."
2014-2015,How effective was the 2014-2015 flu vaccine?,"CDC�s end-of-season influenza vaccine effectiveness (VE) estimates for the 2014-2015 season were presented to the Advisory Committee on Immunization Practices (ACIP) on June 24, 2015. CDC�s adjusted overall VE estimate against influenza A and B viruses for all ages was 23%. The adjusted VE estimate against influenza A (H3N2) viruses for all ages was 13%.\nReduced protection against influenza A (H3N2) viruses for the 2014-2015 season was attributed to the fact that more than 80% of circulating influenza A (H3N2) viruses analyzed at CDC were different or �drifted� from the recommended influenza A (H3N2) vaccine virus.\nThese vaccine effectiveness estimates were derived from data collected",The adjusted VE estimate against influenza A (H3N2) viruses for all ages was 13%.\nReduced protection against influenza A (H3N2) viruses for the 2014-2015 season was attributed to the fact that more than 80% of circulating influenza A (H3N2) viruses analyzed at CDC were different or �drifted� from the recommended influenza A (H3N2) vaccine virus.\nThese vaccine effectiveness estimates were derived from data collected,
2014-2015,Was this season�s vaccine a good match for circulating viruses?,"Laboratory analysis of circulating flu viruses indicated that most of the influenza A (H3N2) viruses were antigenically or genetically different than the influenza A (H3N2) vaccine virus. This is probably why there was reduced vaccine effectiveness against those drifted influenza A (H3N2) viruses. However, the vaccine worked well against about one-third of circulating influenza A (H3N2) viruses that were similar to the recommended vaccine virus and against influenza A (H1N1) and influenza B viruses.","However, the vaccine worked well against about one-third of circulating influenza A (H3N2) viruses that were similar to the recommended vaccine virus and against influenza A (H1N1) and influenza B viruses.",
2014-2015,Why didn�t the 2014-2015 season vaccine contain the right H3N2 virus?,"Experts must pick which viruses to include in the vaccine many months in advance of the flu season in order for vaccine to be produced and delivered on time. And flu viruses change constantly; they can change from one season to the next or they can even change within the course of one flu season. Because of these factors, there is always the possibility of a less than optimal match between circulating viruses and the viruses in the vaccine.\nWhen the vaccine viruses for 2014-2015 were selected, A/Texas/50/2012 was the most common circulating influenza A (H3N2) virus, so it was chosen to be included in the vaccine. The drifted influenza A (H3N2) viruses that circulated during the 2014-2015 season were first detected during routine surveillance testing in late March 2014, after World Health Organization (WHO) recommendations for the vaccine composition for the Northern Hemisphere formulation of the 2014-2015 vaccine were made (in mid-February). At that time, only a very small number of these viruses had been found among the thousands of specimens that had been collected and tested and there was no way to predict that they would circulate widely.","At that time, only a very small number of these viruses had been found among the thousands of specimens that had been collected and tested and there was no way to predict that they would circulate widely.","The drifted influenza A (H3N2) viruses that circulated during the 2014-2015 season were first detected during routine surveillance testing in late March 2014, after World Health Organization (WHO) recommendations for the vaccine composition for the Northern Hemisphere formulation of the 2014-2015 vaccine were made (in mid-February)."
2014-2015,What did CDC do to monitor antiviral resistance in the United States during the 2014-2015 season?,"CDC routinely collects and monitors flu viruses for changes through an established network of domestic and global surveillance systems. One of the things that CDC looks for are changes in viruses that would make antiviral drugs less effective in treating or preventing infection. Additionally, CDC works with the state public health departments and the World Health Organization to collect additional information on antiviral resistance in the United States and worldwide. The information collected will assist in making informed recommendations regarding use of antiviral drugs to treat influenza.",The information collected will assist in making informed recommendations regarding use of antiviral drugs to treat influenza.,
2014-2015,What did CDC do to monitor vaccine effectiveness during the 2014-2015 season?,"CDC collaborates with other partners each season to assess how well the seasonal vaccines are working. During the 2014-2015 season, CDC completed multiple studies on the effectiveness of both the flu shot and the nasal-spray flu vaccine. These studies measured vaccine effectiveness in preventing laboratory-confirmed influenza among persons 6 months of age and older.","During the 2014-2015 season, CDC completed multiple studies on the effectiveness of both the flu shot and the nasal-spray flu vaccine.",
