Year,Topic,Content,LexRank,TextRank,Pegasus,Bart,Content_Length,Word_Count
2014-2015,How many people died from flu during the 2014-2015 season?,"CDC does not count how many people die from flu each year. Unlike flu deaths in children, flu deaths in adults are not nationally reportable. However, CDC has two flu surveillance systems that are used to monitor relative levels of flu-associated deaths. One is the 122 Cities Mortality Reporting System and the other is mortality data collected by the National Center for Health Statistics. Both of these systems track the proportion of death certificates processed that list pneumonia or influenza as the underlying or contributing cause of death of the total deaths reported. These systems provide an overall indication of whether flu-associated deaths are elevated, but do not provide an exact number of how many people died from flu. For more information, see Overview of Influenza Surveillance in the United States.\nCDC also uses modeling studies to estimate numbers of flu-related deaths, but these studies apply only to past seasons and are not done each year. For more information","For more information, see Overview of Influenza Surveillance in the United States.\nCDC also uses modeling studies to estimate numbers of flu-related deaths, but these studies apply only to past seasons and are not done each year.","For more information, see Overview of Influenza Surveillance in the United States.\nCDC also uses modeling studies to estimate numbers of flu-related deaths, but these studies apply only to past seasons and are not done each year.","However, CDC has two flu surveillance systems that are used to monitor relative levels of flu-associated deaths.","Flu deaths in adults are not nationally reportable. CDC has two flu surveillance systems that are used to monitor relative levels of flu-associated deaths. For more information, see Overview of Influenza Surveillance in the United States.",990,158
2014-2015,Were infections with novel (non-human) influenza viruses detected during 2014-2015?,"Yes, three cases of human infection with novel influenza A viruses were reported during the 2014-2015 influenza reporting period. One infection with an influenza A (H3N2) variant virus (H3N2v) occurred during the week ending October 18, 2014 (week 42) in Wisconsin, and one infection with an influenza A (H1N1) variant (H1N1v) virus was reported to CDC during the week ending January 24, 2015 (week 3), from Minnesota. Both patients had illness onset in October 2014 and reported contact with swine in the week preceding illness. Both patients fully recovered, and no further cases were identified in contacts of either patient. The third case, a fatal infection with an influenza A (H1N1)v virus was reported from Ohio during the week ending May 2, 2015 (week 17). The patient worked at a livestock facility that housed swine, but no direct contact with swine in the week before illness onset was reported. The patient died from complications of the infection, and no ongoing human-to-human transmission was identified.\nSwine flu viruses do not normally infect humans. However, sporadic human infections with swine influenza viruses have occurred. When this happens, these viruses are called �variant viruses.� They also can be denoted by adding the letter �v� to the end of the virus subtype designation. Human infections with H1N1v, H3N2v and H1N2v viruses have been detected in the United States.","Human infections with H1N1v, H3N2v and H1N2v viruses have been detected in the United States.","One infection with an influenza A (H3N2) variant virus (H3N2v) occurred during the week ending October 18, 2014 (week 42) in Wisconsin, and one infection with an influenza A (H1N1) variant (H1N1v) virus was reported to CDC during the week ending January 24, 2015 (week 3), from Minnesota.
The third case, a fatal infection with an influenza A (H1N1)v virus was reported from Ohio during the week ending May 2, 2015 (week 17).","One infection with an influenza A (H3N2) variant virus (H3N2v) occurred during the week ending October 18, 2014 (week 42) in Wisconsin, and one infection with an influenza A (H1N1) variant (H1N1v) virus was reported to CDC during the week ending January 24, 2015 (week 3), from Minnesota.","Yes, three cases of human infection with novel influenza A viruses were reported during the 2014-2015 influenza reporting period. One infection occurred during the week ending October 18, 2014 (week 42) in Wisconsin.",1401,223
2014-2015,Were there new recommendations for the 2014-2015 influenza season?,"Recommendations on the control and prevention of influenza are published annually, in late summer or early fall. Recommendations for the 2014-2015 season are available in the Morbidity and Mortality Weekly Report (MMWR) Prevention and Control of Seasonal Influenza with Vaccines: Recommendations of the Advisory Committee on Immunization Practices (ACIP) � United States, 2014-15 Influenza Season. During the 2014-2015 flu season, CDC recommended use of the nasal spray vaccine (LAIV) for healthy* children 2 through 8 years of age, when it was immediately available and if the child had no contraindications or precautions to that vaccine. For more information, see Nasal Spray Flu Vaccine in Children 2 through 8 Years Old or the 2014-2015 MMWR Influenza Vaccine Recommendations. However, on February 26, 2015, the Advisory Committee on Immunization Practices (ACIP) did not renew the preferential recommendation for LAIV for the 2015-2016 season. The ACIP recommendations must be approved by the CDC Director at which point they are published in the MMWR and become CDC policy. More information on this vote is available at the CDC Newsroom.",More information on this vote is available at the CDC Newsroom.,"Recommendations for the 2014-2015 season are available in the Morbidity and Mortality Weekly Report (MMWR) Prevention and Control of Seasonal Influenza with Vaccines: Recommendations of the Advisory Committee on Immunization Practices (ACIP) � United States, 2014-15 Influenza Season.","Recommendations for the 2014-2015 season are available in the Morbidity and Mortality Weekly Report (MMWR) Prevention and Control of Seasonal Influenza with Vaccines: Recommendations of the Advisory Committee on Immunization Practices (ACIP) United States, 2014-15 Influenza Season.","During the 2014-2015 flu season, CDC recommended use of the nasal spray vaccine (LAIV) for healthy* children 2 through 8 years of age. On February 26, 2015, the Advisory Committee on Immunization Practices (ACIP) did not renew the preferential recommendation for LAIV for the 2015-2016 season.",1144,175
2014-2015,How much flu vaccine was produced and distributed during the 2014-2015 season?,"Flu vaccine is produced by private manufacturers. Information about the number of seasonal flu vaccine doses distributed this season is available at Seasonal Flu Vaccine & Total Doses Distributed. In September, seven influenza vaccine manufacturers projected about 151 million to 156 million doses of influenza vaccines would be available for the U.S. market during the 2014-2015 season. Of those projected doses, manufacturers estimated that 76 million doses would be quadrivalent flu vaccine. As of February 2015, approximately 147.8 million doses of flu vaccine were distributed.","As of February 2015, approximately 147.8 million doses of flu vaccine were distributed.","Of those projected doses, manufacturers estimated that 76 million doses would be quadrivalent flu vaccine.","In September, seven influenza vaccine manufacturers projected about 151 million to 156 million doses of influenza vaccines would be available for the U.S.","In September, seven influenza vaccine manufacturers projected about 151 million to 156 million doses of influenza vaccines would be available for the U.S. market during the 2014-2015 season. Of those projected doses, manufacturers estimated that 76 million doses would be quadrivalent",582,85
2014-2015,What flu viruses did the 2014-2015 flu vaccines protect against?,"Flu vaccines are designed to protect against the main flu viruses that research suggests will be the most common during the upcoming season. Three kinds of flu viruses commonly circulate among people today: influenza A (H1N1) viruses, influenza A (H3N2) viruses, and influenza B viruses. Each year, reference viruses are used to produce seasonal influenza vaccine.\nAll of the 2014-2015 influenza vaccine was made to protect against:\nan A/California/7/2009 (H1N1)pdm09-like virus\nan A/Texas/50/2012 (H3N2)-like virus\na B/Massachusetts/2/2012-like virus.\nSome of the 2014-2015 flu vaccine was quadrivalent vaccine. In addition to the above three, quadrivalent vaccines were made to protect against an B/Brisbane/60/2008-like virus.\nVaccines that give protection against three viruses are called trivalent vaccines. Vaccines that give protection against four viruses are called quadrivalent vaccines.",Vaccines that give protection against four viruses are called quadrivalent vaccines.,"Each year, reference viruses are used to produce seasonal influenza vaccine.\nAll of the 2014-2015 influenza vaccine was made to protect against:\nan A/California/7/2009 (H1N1)pdm09-like virus\nan A/Texas/50/2012 (H3N2)-like virus\na B/Massachusetts/2/2012-like virus.\nSome of the 2014-2015 flu vaccine was quadrivalent vaccine.","In addition to the above three, quadrivalent vaccines were made to protect against an B/Brisbane/60/2008-like virus.nVaccines that give protection against three viruses are called trivalent vaccines.","Flu vaccines are designed to protect against the main flu viruses that research suggests will be the most common during the upcoming season. Each year, reference viruses are used to produce seasonal influenza vaccine. Three kinds of flu viruses commonly circulate among people today.",903,119
2014-2015,Why didn�t the 2014-2015 season vaccine contain the right H3N2 virus?,"Experts must pick which viruses to include in the vaccine many months in advance of the flu season in order for vaccine to be produced and delivered on time. And flu viruses change constantly; they can change from one season to the next or they can even change within the course of one flu season. Because of these factors, there is always the possibility of a less than optimal match between circulating viruses and the viruses in the vaccine.\nWhen the vaccine viruses for 2014-2015 were selected, A/Texas/50/2012 was the most common circulating influenza A (H3N2) virus, so it was chosen to be included in the vaccine. The drifted influenza A (H3N2) viruses that circulated during the 2014-2015 season were first detected during routine surveillance testing in late March 2014, after World Health Organization (WHO) recommendations for the vaccine composition for the Northern Hemisphere formulation of the 2014-2015 vaccine were made (in mid-February). At that time, only a very small number of these viruses had been found among the thousands of specimens that had been collected and tested and there was no way to predict that they would circulate widely.","At that time, only a very small number of these viruses had been found among the thousands of specimens that had been collected and tested and there was no way to predict that they would circulate widely.","The drifted influenza A (H3N2) viruses that circulated during the 2014-2015 season were first detected during routine surveillance testing in late March 2014, after World Health Organization (WHO) recommendations for the vaccine composition for the Northern Hemisphere formulation of the 2014-2015 vaccine were made (in mid-February).","Because of these factors, there is always the possibility of a less than optimal match between circulating viruses and the viruses in the vaccine.nWhen the vaccine viruses for 2014-2015 were selected, A/Texas/50/2012 was the most common circulating influenza A (H3N2) virus, so it was chosen to be included in the vaccine.",Experts must pick which viruses to include in the vaccine many months in advance of the flu season. The drifted influenza A (H3N2) viruses that circulated during the 2014-2015 season were first detected during routine surveillance testing in March 2014.,1161,189
2015-2016,What was the 2015-2016 flu season like?,"Flu seasons can vary in their timing, severity, and duration from one season to another. The 2015-2016 flu season started a little later than the previous three flu seasons. The season also peaked later. While H3N2 viruses predominated early in the season, H1N1 viruses were the most common later in the season and were the predominant virus for the entire season. This is the virus that emerged in 2009 to cause a pandemic and that caused severe illness in some children & young-and middle-aged adults. While there were reports of severe flu illnesses and deaths, overall the 2015-2016 season was milder than the previous three seasons.","While there were reports of severe flu illnesses and deaths, overall the 2015-2016 season was milder than the previous three seasons.","While there were reports of severe flu illnesses and deaths, overall the 2015-2016 season was milder than the previous three seasons.","While there were reports of severe flu illnesses and deaths, overall the 2015-2016 season was milder than the previous three seasons.",The 2015-2016 flu season started a little later than the previous three flu seasons. H1N1 viruses were the most common later in the season and were the predominant virus for the entire season. This is the virus that emerged in 2009 to cause a pandemic.,637,106
2015-2016,When did the 2015-2016 flu season peak?,"The timing of flu is unpredictable and can vary in different parts of the country and from season to season. Most of the timeflu activitypeaks between December and February, although activity can last as late as May. The peak week of flu activity in terms of influenza-like illness (ILI) for the 2015-2016 season was the week ending March 12, 2016. This is one of the later season peaks on record. Over the last 18 seasons (including the 2015-2016 season), only three seasons have peaked during March (2015-2016, 2011-2012 and 2005-2006). No season has peaked later than March.","Over the last 18 seasons (including the 2015-2016 season), only three seasons have peaked during March (2015-2016, 2011-2012 and 2005-2006).",No season has peaked later than March.,"The peak week of flu activity in terms of influenza-like illness (ILI) for the 2015-2016 season was the week ending March 12, 2016.","The peak week of flu activity in terms of influenza-like illness (ILI) for the 2015-2016 season was the week ending March 12, 2016. This is one of the later season peaks on record. Most of the timeflu activitypeaks between December and February.",577,97
2015-2016,How many people died from flu during the 2015-2016 season?,"CDC does not count how many people die from flu each year. Unlike flu deaths in children, flu deaths in adults are not nationally reportable. During the 2015-2016 season, overall influenza activity was moderate, with a lower percentage of outpatient visits for influenza-like illness (ILI), lower hospitalization rates, and a lower percentage of deaths attributed to pneumonia and influenza (P&I) compared with the preceding three seasons (2012-2013, 2013-2014, and 2014-2015). CDC usedtwo flu surveillance systemsto monitor relative levels of flu-associated deaths: mortality data from the National Center for Health Statistics and the 122 Cities Mortality Reporting System. Both of these systems track the proportion of death certificates processed that list pneumonia or influenza as the underlying or contributing cause of death of the total deaths reported. These systems provide an overall indication of whether flu-associated deaths are elevated, but do not provide an exact number of how many people died from flu. Based on data from CDC’s National Center for Health Statistics Mortality Surveillance System, the proportion of deaths attributed to P&I was at or slightly above the epidemic threshold for three consecutive weeks from the week ending January 2, 2016, through the week ending January 16, 2016 (weeks 52-2) and again for four consecutive weeks from the week ending February 27, 2016, through the week ending March 19, 2016 (weeks 8-11). The percentage of deaths attributed to P&I peaked at 7.9% during the week ending March 19, 2016 (week 11). During the past five influenza seasons, peak weekly percentages of deaths attributable to P&I have ranged from 8.7% during the 2011-12 season to 11.1% during the 2012-13 season. Based on 122 Cities Mortality Reporting System data, the weekly percentage of deaths attributed to P&I exceeded the epidemic threshold for the weeks ending January 16, 2016 (week 2) and February 27, 2016 (week 8), and again for 5 consecutive weeks from the week ending March 19, 2016, through the week ending April 16, 2016 (weeks 11–15), and finally, for 2 consecutive weeks from the week ending May 7, 2016, through the week ending May 14, 2016 (weeks 18–19). P&I mortality peaked at 7.8% during the week ending March 26, 2016 (week 12). During the past five influenza seasons, peak weekly percentages of deaths attributable to P&I have ranged from 7.9% during the 2011–12 season to 9.9% during the 2012–13 season. More information about pneumonia and influenza-associated mortality is available in the2015-2016 influenza season Morbidity and Mortality Weekly Report (MMWR).",CDC usedtwo flu surveillance systemsto monitor relative levels of flu-associated deaths: mortality data from the National Center for Health Statistics and the 122 Cities Mortality Reporting System.,"Based on data from CDC’s National Center for Health Statistics Mortality Surveillance System, the proportion of deaths attributed to P&I was at or slightly above the epidemic threshold for three consecutive weeks from the week ending January 2, 2016, through the week ending January 16, 2016 (weeks 52-2) and again for four consecutive weeks from the week ending February 27, 2016, through the week ending March 19, 2016 (weeks 8-11).
Based on 122 Cities Mortality Reporting System data, the weekly percentage of deaths attributed to P&I exceeded the epidemic threshold for the weeks ending January 16, 2016 (week 2) and February 27, 2016 (week 8), and again for 5 consecutive weeks from the week ending March 19, 2016, through the week ending April 16, 2016 (weeks 11–15), and finally, for 2 consecutive weeks from the week ending May 7, 2016, through the week ending May 14, 2016 (weeks 18–19).","These systems provide an overall indication of whether flu-associated deaths are elevated, but do not provide an exact number of how many people died from flu.",CDC does not count how many people die from flu each year. Flu deaths in adults are not nationally reportable. Overall influenza activity was moderate during the 2015-2016 season.,2619,409
2015-2016,How many children died from the flu during the 2015-2016 season?,"As of September 15, 2016, a total of 85 laboratory-confirmed influenza-associated pediatric deaths occurring during the 2015-2016 flu season were reported to CDC from Puerto Rico, the District of Columbia, and 33 states. Sometimes there is a lag time for reporting of pediatric deaths. For the most recent data and more information visitFluView: Influenza-Associated Pediatric Mortality. Since influenza-associated pediatric mortality became a nationally-notifiable condition during the 2004-2005 season, the total number of influenza-associated pediatric deaths has ranged from 37 to 171. (This excludes the 2009 pandemic, when 358 pediatric deaths were reported to CDC during April 15, 2009, through October 2, 2010.)","(This excludes the 2009 pandemic, when 358 pediatric deaths were reported to CDC during April 15, 2009, through October 2, 2010.)","As of September 15, 2016, a total of 85 laboratory-confirmed influenza-associated pediatric deaths occurring during the 2015-2016 flu season were reported to CDC from Puerto Rico, the District of Columbia, and 33 states.","Since influenza-associated pediatric mortality became a nationally-notifiable condition during the 2004-2005 season, the total number of influenza-associated pediatric deaths has ranged from 37 to 171.","As of September 15, 2016, a total of 85 laboratory-confirmed influenza-associated pediatric deaths were reported to CDC from Puerto Rico, the District of Columbia, and 33 states. Sometimes there is a lag time for reporting of pediatric deaths. For the most recent data and more information visitFluView.",719,102
2015-2016,How effective was the 2015-2016 flu vaccine?,"CDC’s end-of-season influenza vaccine effectiveness (VE) estimates for the 2015-2016 season were presented to the Advisory Committee on Immunization Practices (ACIP) on June 22, 2016. CDC’s adjusted overall VE estimate against influenza A and B viruses for all ages was 47%. The overall VE against A(H1N1)pdm09 was 41% and the overall VE against influenza B was 55%. This data is consistent with VE observed during previous seasons when vaccine viruses and circulating viruses were similar. These vaccine effectiveness estimates were derived from data collected from the U.S. Flu VE Network from November 2, 2015, through April 15, 2016. SeeSeasonal Influenza Vaccine Effectiveness, 2005-2016for more information. Top of Page",This data is consistent with VE observed during previous seasons when vaccine viruses and circulating viruses were similar.,"CDC’s end-of-season influenza vaccine effectiveness (VE) estimates for the 2015-2016 season were presented to the Advisory Committee on Immunization Practices (ACIP) on June 22, 2016.","CDC’s end-of-season influenza vaccine effectiveness (VE) estimates for the 2015-2016 season were presented to the Advisory Committee on Immunization Practices (ACIP) on June 22, 2016.","CDC’s end-of-season influenza vaccine effectiveness (VE) estimates for the 2015-2016 season were presented to the Advisory Committee on Immunization Practices (ACIP) on June 22, 2016. The overall VE estimate against influenza A and B viruses for all ages was 47%.",725,108
2015-2016,Did CDC do anything different in terms of virologic surveillance during the 2015-2016 season?,"Yes. In advance of the 2015-2016 season, CDC and the Association of Public Health Laboratories (APHL) shared revised guidelines with public health laboratories for submitting influenza viruses to CDC for testing. The revised guidelines set the recommended number of flu viruses of each type and subtype to be submitted to CDC by each laboratory, along with when and how those viruses should be submitted. The revisions were implemented with the goal of yielding a more balanced and comprehensive picture of antigenic, genetic, and antiviral properties of the main groups of flu viruses circulating in the United States. During past seasons, the viruses that have been submitted to CDC have not been fully representative of the main circulating flu viruses (A(H1N1)pdm09, H3N2, and B); specifically, predominantly circulating viruses have often been over-represented among submitted samples. It is important to have equally strong surveillance data for the main groups of circulating flu viruses since this data is needed to inform vaccine virus selection and different viruses can predominate from season to season. Top of Page",Yes.,"During past seasons, the viruses that have been submitted to CDC have not been fully representative of the main circulating flu viruses (A(H1N1)pdm09, H3N2, and B); specifically, predominantly circulating viruses have often been over-represented among submitted samples.","During past seasons, the viruses that have been submitted to CDC have not been fully representative of the main circulating flu viruses (A(H1N1)pdm09, H3N2, and B); specifically, predominantly circulating viruses have often been over-represented among submitted samples.","In advance of the 2015-2016 season, CDC and the Association of Public Health Laboratories (APHL) shared revised guidelines with public health laboratories. The revised guidelines set the recommended number of flu viruses of each type and subtype to be submitted to CDC by each laboratory.",1127,173
2016-2017,Flu Activity,"As of a flu activity update published in theMorbidity and Mortality Weekly Report on February 17, 2017, flu activity during the 2016-2017 season had been moderate, with influenza A (H3N2) viruses predominating and severity indicators within the range of what has been seen during previous seasons that were H3N2-predominant. H3N2-predominant seasons have been associated with more severe illness and mortality, especially in older people and young children, relative to seasons during which H1N1 or B viruses predominated. Flu viruses are constantly changing so it’s not unusual for new flu viruses to appear each year. However, as of theFebruary 2017 MMWR, most of the influenza viruses analyzed this season have remained like the vaccine viruses recommended for production of Northern Hemisphere vaccines. For more information about how flu viruses change, visitHow the Flu Virus Can Change. The United States experiences epidemics of seasonal flu each year. This time of year is called “flu season.” In the United States, flu viruses are most common during the fall and winter months. Influenza activity often begins to increase in October and November. Most of the time flu activity peaks between December and March and can last as late as May. CDC monitors certain key flu indicators (for example, outpatient visits of influenza-like illness (ILI), the results of laboratory testing and flu hospitalization and deaths). When these indicators rise and remain elevated for a number of consecutive weeks, flu season is said to have begun. Usually ILI increases first, followed by an increase in flu-associated hospitalizations, which is then followed by increases in flu-associated deaths. During 2016-2017, influenza-like-illness (ILI) went above baseline the week endingDecember 17, 2016. For the most current influenza surveillance information, please see FluView atWeekly U.S. Influenza Surveillance Report. The timing of flu is very unpredictable and can vary in different parts of the country and from season to season. Seasonal flu viruses can be detected year-round; however, seasonal flu activity can begin as early as October and continue to occur as late as May. Flu activity most commonly peaks in the United States between December and March. For the 2016-2017 season, influenza-like-illness (ILI) in the United States went above baseline the week ending December 17, 2016 and remained elevated as of mid-March. The season has likely peaked. CDC does not count how many people die from flu each year. Unlike flu deaths in children, flu deaths in adults are not nationally reportable. However, CDC uses mortality data collected by the National Center for Health Statistics to monitor relative levels of flu-associated deaths. This system tracks the proportion of death certificates processed that list pneumonia or influenza as the underlying or contributing cause of death of the total deaths reported. This system provides an overall indication of whether flu-associated deaths are elevated, but does not provide an exact number of how many people died from flu. For more information, seeOverview of Influenza Surveillance in the United States, “Mortality Surveillance.” CDC also uses modeling studies to estimate numbers of flu-related deaths, but these studies apply only to past seasons and are not done each year. For more information, seeEstimating Seasonal Influenza-Associated Deaths in the United States. There are several factors that make it difficult to determine accurate numbers of deaths caused by flu regardless of reporting. Some of the challenges in counting influenza-associated deaths include the following: the sheer volume of deaths to be counted; the lack of testing (not everyone that dies with an influenza-like illness is tested for influenza); and the different coding of deaths (influenza-associated deaths are often a result of complications secondary to underlying medical problems, and this may be difficult to sort out). More information is available at:Estimating Seasonal Influenza-Associated Deaths in the United States: CDC Study Confirms Variability of Flu.","As of a flu activity update published in theMorbidity and Mortality Weekly Report on February 17, 2017, flu activity during the 2016-2017 season had been moderate, with influenza A (H3N2) viruses predominating and severity indicators within the range of what has been seen during previous seasons that were H3N2-predominant.","Most of the time flu activity peaks between December and March and can last as late as May. CDC monitors certain key flu indicators (for example, outpatient visits of influenza-like illness (ILI), the results of laboratory testing and flu hospitalization and deaths).
Seasonal flu viruses can be detected year-round; however, seasonal flu activity can begin as early as October and continue to occur as late as May. Flu activity most commonly peaks in the United States between December and March.
For more information, seeOverview of Influenza Surveillance in the United States, “Mortality Surveillance.” CDC also uses modeling studies to estimate numbers of flu-related deaths, but these studies apply only to past seasons and are not done each year.
For more information, seeEstimating Seasonal Influenza-Associated Deaths in the United States.
More information is available at:Estimating Seasonal Influenza-Associated Deaths in the United States: CDC Study Confirms Variability of Flu.","As of a flu activity update published in theMorbidity and Mortality Weekly Report on February 17, 2017, flu activity during the 2016-2017 season had been moderate, with influenza A (H3N2) viruses predominating and severity indicators within the range of what has been seen during previous seasons that were H3N2-predominant.","Flu activity during the 2016-2017 season had been moderate, with influenza A (H3N2) viruses predominating. Most of the influenza viruses analyzed this season have remained like the vaccine viruses recommended for production of Northern Hemisphere vaccines.",4109,623
2016-2017,Protective Actions,"CDC recommends a yearlyflu vaccinefor everyone 6 months of age and older as the first and most important step in protecting against this serious disease. In addition to getting a seasonal flu vaccine, you can takeeveryday preventive actionslike staying away from sick people and washing your hands to reduce the spread of germs. If you are sick with flu, stay home from work or school to prevent spreading flu to others. In addition, there are prescription medications called antiviral drugs that can be used to treat influenza illness. VisitWhat you Should Know About Flu Antiviral Drugsfor more information. Encourage your loved ones to get vaccinated. Vaccination is especially important forpeople at high risk for developing flu-related complications, and their close contacts. Also, if you have a loved one who is at high risk of flu complications and they develop flu symptoms, encourage them to get a medical evaluation for possible treatment with flu antiviral drugs. CDC recommends that people who are at high risk for serious flu complications who get flu symptoms during flu season be treated with flu antiviral drugs as quickly as possible. People who are not at high risk for serious flu complications may also be treated with antiviral drugs, especially if treatment can begin within 48 hours. Some children 6 months through 8 years of age will require two doses of flu vaccine for adequate protection from flu. Children in this age group who are getting vaccinated for the first time will need two doses of flu vaccine, spaced at least 28 days apart. Some children who have received flu vaccine previously and children who have only received one dose in their lifetime also may need two doses. Your child’s doctor or other health care professional can tell you if your child needs two doses. VisitChildren, the Flu, and the Flu Vaccinefor more information. Children younger than 6 months are at higher risk of serious flu complications, but are too young to get a flu vaccine. Because of this, safeguarding them from flu is especially important. If you live with or care for an infant younger than 6 months of age, you should get a flu vaccine to help protect them from flu.Advice for Caregivers of Young Childrenhas more information. Also, studies have shown that getting the flu vaccine during pregnancy can protect the baby after birth for several months. In addition to getting vaccinated, you and your loved ones can takeeveryday preventive actionslike staying away from sick people and washing your hands to reduce the spread of germs. If you are sick with flu, stay home from work or school to prevent spreading flu to others.","Children in this age group who are getting vaccinated for the first time will need two doses of flu vaccine, spaced at least 28 days apart.","In addition to getting a seasonal flu vaccine, you can takeeveryday preventive actionslike staying away from sick people and washing your hands to reduce the spread of germs.
People who are not at high risk for serious flu complications may also be treated with antiviral drugs, especially if treatment can begin within 48 hours.
Some children 6 months through 8 years of age will require two doses of flu vaccine for adequate protection from flu.
Children younger than 6 months are at higher risk of serious flu complications, but are too young to get a flu vaccine.","Also, if you have a loved one who is at high risk of flu complications and they develop flu symptoms, encourage them to get a medical evaluation for possible treatment with flu antiviral drugs.","CDC recommends a yearly flu vaccine for everyone 6 months of age and older. Stay away from sick people and washing your hands to reduce the spread of germs. If you are sick with flu, stay home from work or school to prevent spreading flu to others.",2648,441
2016-2017,Vaccine and Vaccination,"Flu vaccine is produced by private manufacturers, so supply depends on manufacturers. For the 2016-2017 season, manufacturers projected they would provide between 157 million and 168 million doses of injectable vaccine for the U.S. market. (Projections may change as the season progresses.) The quantity of vaccine that has been distributed is updated regularly during flu season and is available atSeasonal Influenza Vaccine & Total Doses Distributed. FluMist Quadrivalent is still an FDA-licensed product. As such, there may be some supply of FluMist Quadrivalent on the U.S. market during the 2016-2017 season. It is important for clinicians and the public to be aware that because of concerns about this vaccine’s effectiveness, CDC recommends that this vaccinenotbe used during the 2016-2017 influenza season. Flu vaccine is produced by private manufacturers, so the timing of vaccine availability depends on when production is completed. For the 2016-2017 influenza season, by late September, more than 90 million doses of 2016-2017 flu vaccine had already been distributed in the United States.","Flu vaccine is produced by private manufacturers, so the timing of vaccine availability depends on when production is completed.","For the 2016-2017 influenza season, by late September, more than 90 million doses of 2016-2017 flu vaccine had already been distributed in the United States.",(Projections may change as the season progresses.) The quantity of vaccine that has been distributed is updated regularly during flu season and is available atSeasonal Influenza Vaccine & Total Doses Distributed.,Manufacturers projected they would provide between 157 million and 168 million doses of injectable vaccine for the U.S. market. The quantity of vaccine that has been distributed is updated regularly during flu season and is available atSeasonal Influenza Vaccine & Total Doses Distributed.,1101,165
2016-2017,If You Get Sick,"Antiviral drugs are prescription drugs that can be used to treat flu illness. People athigh riskof serious flucomplications(such as children younger than 5 years, adults 65 years of age and older, pregnant women, people with certain medical conditions, and residents of nursing homes and other long-term care facilities) and people who are very sick with flu (such as those hospitalized because of flu) should get treatment with antiviral drugs as early as possible after illness begins. Some other people may be treated with antivirals at their health care professional’s discretion. Treating high risk people or people who are very sick with flu with antiviral drugs is very important. Studies show that prompt treatment, especially within 2 days of illness onset, with antiviral drugs can prevent serious flu complications. Prompt treatment can mean the difference between having a milder illness versus very serious illness that could result in a hospital stay. Treatment with antivirals works best when begun within 48 hours of getting sick, but can still be beneficial when given later in the course of illness. Antiviral drugs are effective across all age and risk groups. Studies show that antiviral drugs are under-prescribed for people who are at high risk of complications who get flu. Three FDA-approved antiviral medications are recommended for use during the 2016-2017 flu season: oseltamivir (available as a generic version or under the trade name Tamiflu®), zanamivir (trade name Relenza®), and peramivir (trade name Rapivab®). More information about antiviral drugs can be found atTreatment – Antiviral Drugs. More information available: “The Flu: What To Do If You Get Sick” In August 2016, the U.S. Food and Drug Administration approved the first generic version of Tamiflu® (oseltamivir phosphate). Generic oseltamivir is available as a pill. Tamiflu® is available as a pill or liquid.",Treating high risk people or people who are very sick with flu with antiviral drugs is very important.,"Treating high risk people or people who are very sick with flu with antiviral drugs is very important.
Studies show that prompt treatment, especially within 2 days of illness onset, with antiviral drugs can prevent serious flu complications.","People athigh riskof serious flucomplications(such as children younger than 5 years, adults 65 years of age and older, pregnant women, people with certain medical conditions, and residents of nursing homes and other long-term care facilities) and people who are very sick with flu (such as those hospitalized because of flu) should get treatment with antiviral drugs as early as possible after illness begins.",Antiviral drugs are prescription drugs that can be used to treat flu illness. High risk people or people who are very sick with flu with antiviral drugs is very important.,1905,296
